scheme_name,scheme_url
Haryana Provision of Sports Equipment Scheme,https://www.myscheme.gov.in/schemes/hposec
International Financial Assistance,https://www.myscheme.gov.in/schemes/ifag
Internship Policy Of Indian Council For Cultural Relations (ICCR),https://www.myscheme.gov.in/schemes/ipiccr
Jharkhand Sports Excellence Cash Award Scheme to Coaches,https://www.myscheme.gov.in/schemes/jsecasc
Jharkhand Sports Excellence Cash Award Scheme to Players,https://www.myscheme.gov.in/schemes/jsecasp
Jharkhand Sportsperson Pension Scheme,https://www.myscheme.gov.in/schemes/jsps
Junior/Senior Fellowship in the Field of Fine Arts,https://www.myscheme.gov.in/schemes/jsifffa
Kailash Darshan Yatra,https://www.myscheme.gov.in/schemes/kdy
Kala Gaurav Puraskar,https://www.myscheme.gov.in/schemes/kgp-goa
Kala Samman Scheme,https://www.myscheme.gov.in/schemes/kss
Kala Utsav Pratiyogita - Uttarakhand,https://www.myscheme.gov.in/schemes/kupuk
Kalakar Kritadnyata Nidhi: Compensation Towards Natural Calamities,https://www.myscheme.gov.in/schemes/kkn-ctnc
Kalakar Kritadnyata Nidhi: Financial Assistance For Funeral of the Artist,https://www.myscheme.gov.in/schemes/kkn-faffota
Kalakar Kritadnyata Nidhi: Incentive for Self Employment,https://www.myscheme.gov.in/schemes/kkn-ifse
Kalakar Kritadnyata Nidhi: Lumpsum Grant,https://www.myscheme.gov.in/schemes/kkn-lg
Kalakar Kritadnyata Nidhi: Marriage Component,https://www.myscheme.gov.in/schemes/kkn-mc
Kalakar Kritadnyata Nidhi: Medical Treatment,https://www.myscheme.gov.in/schemes/kkn-mt
Kalakar Kritadnyata Nidhi: Pandemics,https://www.myscheme.gov.in/schemes/kkn-p
Kalakar Kritadnyata Nidhi: Scholarships/Incentives,https://www.myscheme.gov.in/schemes/kkn-si
Kamban Pugazh Literary Prize,https://www.myscheme.gov.in/schemes/kplp
Khel Chhatravriti (Vritika) Yojana,https://www.myscheme.gov.in/schemes/kcvy
Khel Mahakumbh,https://www.myscheme.gov.in/schemes/kmk
Khel Pratibha Puraskar,https://www.myscheme.gov.in/schemes/kppg
Khiladi Protsahan Chhatravriti Yojana,https://www.myscheme.gov.in/schemes/piss
Khiladi Protsahan Yojana,https://www.myscheme.gov.in/schemes/kpymp
Konkani Song & Music Awards (Tiatr Kantaram),https://www.myscheme.gov.in/schemes/ksma-tk
Late Jaswantsinhji Thakor and Late Rasiklal Andhariya Classical Music Scholarship,https://www.myscheme.gov.in/schemes/ljtlracms
Laxman Award / Rani Laxmi Bai Award Scheme,https://www.myscheme.gov.in/schemes/larlbas
Laxman Award / Rani Laxmi Bai Award Scheme- Differently-abled and Posthumously,https://www.myscheme.gov.in/schemes/larlbasdaap
Lifetime Contribution to Khell/Khell-Tiatr Awards,https://www.myscheme.gov.in/schemes/lckkta
Lifetime Contribution to Konkani Cinema Award,https://www.myscheme.gov.in/schemes/lckca
Lifetime Contribution to Tiatr Awards (Commercial),https://www.myscheme.gov.in/schemes/lctac
Lifetime Contribution to Tiatr Awards (Non-Commercial),https://www.myscheme.gov.in/schemes/lctanc
Living Craft Treasure Award,https://www.myscheme.gov.in/schemes/lcta
Lokprasar Prakalpo Scheme,https://www.myscheme.gov.in/schemes/lps
Madhya Pradesh Kalakar Evam Sahityakar Kalyan Kosh Niyam- Death Assistance,https://www.myscheme.gov.in/schemes/mpkskkn-da
Madhya Pradesh Kalakar Evam Sahityakar Kalyan Kosh Niyam- Disability Assistance,https://www.myscheme.gov.in/schemes/mpkskkn-d
Madhya Pradesh Kalakar Evam Sahityakar Kalyan Kosh Niyam- Serious Illness / Accident / Calamity Assistance,https://www.myscheme.gov.in/schemes/mpkskkn-diancal
Madhya Pradesh Non-Government Institution Grant Scheme,https://www.myscheme.gov.in/schemes/mpngigs
Maintenance Grant to Institutions and Organizations Engaged in Cultural Activities,https://www.myscheme.gov.in/schemes/mgioeca
Marathi Drama Competition ‘A' & ‘B' Group,https://www.myscheme.gov.in/schemes/mdcabg
Marriage Assistance - Folk Artist,https://www.myscheme.gov.in/schemes/mafa
Meghalaya Sports & Wellness Centre Scheme,https://www.myscheme.gov.in/schemes/mswcs
Mukhyamantri Kalakar Sahayata Yojana,https://www.myscheme.gov.in/schemes/mksyodisha
Mukhyamantri Udeeyman Khiladi Unnayan Chhatravriti Yojana,https://www.myscheme.gov.in/schemes/mukuy
National Handicrafts Development Programme: Direct Benefit to Artisans - Supports to Artisans in Indigent Circumstances,https://www.myscheme.gov.in/schemes/nhdp-dba-saic
National Handicrafts Development Programme: Research & Development Scheme,https://www.myscheme.gov.in/schemes/nhdp-randds
National Service Scheme,https://www.myscheme.gov.in/schemes/nssc
Nirmaan Shramik ke Bachchon Hetu Utkrasht Khel Protsaahan Yojana,https://www.myscheme.gov.in/schemes/nsbhuk
Nirman Shramik Antrashtriya Khel Pratiyogiyo Hetu Protsahan Yojana,https://www.myscheme.gov.in/schemes/nsakppy
Observation Home and Special School,https://www.myscheme.gov.in/schemes/ohss
Operation of Sports Hostels,https://www.myscheme.gov.in/schemes/osh
Oral Documentation of History of Tiatr,https://www.myscheme.gov.in/schemes/odht
Organisation of Cultural Programs,https://www.myscheme.gov.in/schemes/ocpr
Organising Sports Competitions and Training Camps,https://www.myscheme.gov.in/schemes/kpepska
Organization of Sports Competitions and Training Programs,https://www.myscheme.gov.in/schemes/osctp
Orientation Courses in Dramatics,https://www.myscheme.gov.in/schemes/ocd
Out of Turn Employment to Sportspersons in State Services,https://www.myscheme.gov.in/schemes/otejtpss
Pandit Deendayal Upadhyay National Welfare Fund For Sportspersons,https://www.myscheme.gov.in/schemes/pdunwfs
Pandit Omkarnath Classical Music Festival and Awards,https://www.myscheme.gov.in/schemes/pocmfa
Pandit Omkarnath Music Competition,https://www.myscheme.gov.in/schemes/pomc
Pay & Play Scheme,https://www.myscheme.gov.in/schemes/pandps
Pension Scheme - Folk Artist,https://www.myscheme.gov.in/schemes/psfa
"Pension Scheme for Elderly, Destitute Artists, Litterateurs and Writers of Uttarakhand State",https://www.myscheme.gov.in/schemes/psedawa
Pension to Indigent Sportspersons of Odisha,https://www.myscheme.gov.in/schemes/piso
Personality Development and Yogasan Training Camp for Schedule Caste,https://www.myscheme.gov.in/schemes/pdytcsc
Personality Development and Yogasana Training Camp (TASP),https://www.myscheme.gov.in/schemes/pdytcst
Poompuhar District Craft Award,https://www.myscheme.gov.in/schemes/pdca
Poompuhar State Award,https://www.myscheme.gov.in/schemes/psa
Popular Tiatr Competition,https://www.myscheme.gov.in/schemes/ptc-g
Preservation of Tiatr Literature,https://www.myscheme.gov.in/schemes/potl
Production of Audio Albums of songs on Patriotism & National Integration,https://www.myscheme.gov.in/schemes/paaspni
Production of Tiatr in Villages/Urban Areas/Educational Institutions,https://www.myscheme.gov.in/schemes/ptvuaei
Promotion of Acting in Tiatr for School Children,https://www.myscheme.gov.in/schemes/patsc
Promotion of Duets/Duos/Trios/Quartets/Quintets/Choral Songs,https://www.myscheme.gov.in/schemes/pddtqqcs
Promotion of Konkani Songs with Choreography & Dancing,https://www.myscheme.gov.in/schemes/pkscd
Promotion of Literature on Art & Culture of Local Authors/ Organization,https://www.myscheme.gov.in/schemes/placlao
Promotion of Patriotism/National Integration/Communal Harmony - Interschool Choreographic Dance Competition,https://www.myscheme.gov.in/schemes/ppnich-icdc
Promotion of Patriotism/National Integration/Communal Harmony - Production of Musical Programme or Tiatr,https://www.myscheme.gov.in/schemes/ppnich-pmpt
Promotion of Tiatr Music,https://www.myscheme.gov.in/schemes/potm
Promotion of Tiatr Related Activities,https://www.myscheme.gov.in/schemes/ptra
Promotion of Tiatr Through Academic Activities,https://www.myscheme.gov.in/schemes/pttaa
Promotion of Tribal Culture,https://www.myscheme.gov.in/schemes/ptc
Provision of Sports Kits to Players Participating at the National Level,https://www.myscheme.gov.in/schemes/pskppnl
Publication Support Scheme for Fine Arts,https://www.myscheme.gov.in/schemes/pssffa
Raising the Standard of Tiatr,https://www.myscheme.gov.in/schemes/rtsot
Remembering Tiatr Artistes of Yesteryears - Organisation of Special Dedicated Programmes,https://www.myscheme.gov.in/schemes/rtay-osdp
Retired Sportsperson Pension Scheme,https://www.myscheme.gov.in/schemes/rsps
Rock Climbing Adventure Training Course,https://www.myscheme.gov.in/schemes/rcatc
Rural Sports and Health Promotion Scheme,https://www.myscheme.gov.in/schemes/rsahps
Sarna /Jahersthan/Hadgadi & Masna Protection and Development Scheme,https://www.myscheme.gov.in/schemes/sjhmpds
Scheme For Award Of Senior/Junior Fellowships To Outstanding Persons In The Fields Of Culture,https://www.myscheme.gov.in/schemes/sasjfopfc
"Scheme for Campaign, Seminar and Sports under Disability Sector",https://www.myscheme.gov.in/schemes/sfcssuds
Scheme For Financial Assistance For Veteran Artists,https://www.myscheme.gov.in/schemes/sfava
Scheme for Giving Awards to Traditional Artists,https://www.myscheme.gov.in/schemes/sfgatta-sa
Scheme for Giving Financial Assistance to the Legal Heirs of the Deceased Artist (Wife/Husband) on the Death of the Indigent Artist Who Was Receiving Financial Assistance,https://www.myscheme.gov.in/schemes/sfgfattlhotdawhotdotiawwrfs
Scheme for Providing (Golden Jubilee) One Time Grant-In-Aid in Memory of Blessed Mother Tereza,https://www.myscheme.gov.in/schemes/spgjotgiambmt
Scheme for Providing Incentives to Coaches of Athletes who have Won Competitions at the National and International Levels,https://www.myscheme.gov.in/schemes/tspicacnil
Scheme for Upliftment of Utsavi Rangabhumi of Goa,https://www.myscheme.gov.in/schemes/suurg
"Scheme of Awarding Eklavya Award, Sardar Patel Award and Jaidipsinhji Awardj",https://www.myscheme.gov.in/schemes/saeaspjag
Scheme of Awarding Porkizhi to the Indigent Kalaimamani Awardee Artists,https://www.myscheme.gov.in/schemes/soapttikaa
Scheme of Cash Incentive to Medal Winners in International Sports Events and their Coaches,https://www.myscheme.gov.in/schemes/itsp
Scheme of Conferring ‘Kalaichemmal’ Awards,https://www.myscheme.gov.in/schemes/socka
Scheme of Conferring ‘Kalaimamani’ Award,https://www.myscheme.gov.in/schemes/socka-tn
Scheme of Encouragement to Young Artists,https://www.myscheme.gov.in/schemes/soetya
Scheme of Extending Family Maintenance Grant to the Families of the Deceased Famous Artists,https://www.myscheme.gov.in/schemes/soefmgttfotdfa
"Scheme of Extending Financial Assistance to Folk Artists, Troupes for the Purchase of Musical Instruments, Costumes",https://www.myscheme.gov.in/schemes/soefatfatftpomic
Scheme of Extending Financial Assistance to New Drama Productions,https://www.myscheme.gov.in/schemes/soefatndp
"Scheme of Financial Assistance for Cultural Organization for Holding Conference, Seminar, Symposium, Exhibition, Festival, Competition etc.",https://www.myscheme.gov.in/schemes/sfacohcssefc
Scheme of Financial Assistance for Dance and Drama Troupes/Associations,https://www.myscheme.gov.in/schemes/sfaddta
Scheme of Financial Assistance for Publication of Manuscripts/Research Journals,https://www.myscheme.gov.in/schemes/sfapmrj
Scheme Of Financial Assistance For The Preservation And Development Of Cultural Heritage Of The Himalayas,https://www.myscheme.gov.in/schemes/sfapdchh
Scheme of Financial Assistance to Indigent Artists,https://www.myscheme.gov.in/schemes/sofatia
Scheme of Financial Assistance to Literary/Educational Institutions for Organizing Programs/Conferences,https://www.myscheme.gov.in/schemes/sfaleopc
Scheme of Financial Assistance to New Writers of Gujarati Language and Literature for Publishing Original Works of Creative and Fine Literature,https://www.myscheme.gov.in/schemes/sfanwgl
Scheme of Grant-In-Aid for Conduct of Art Exhibitions: Group Shows,https://www.myscheme.gov.in/schemes/sogiafcoae-gs
Scheme of Grant-In-Aid for Conduct of Art Exhibitions: One-Man Shows,https://www.myscheme.gov.in/schemes/sogiafcoae-oms
Scheme of Pension for Eminent Sports Persons,https://www.myscheme.gov.in/schemes/spesp
Scheme To Provide Assistance To Students Seeking Education Outside Goa In Any Field Of Art And Culture,https://www.myscheme.gov.in/schemes/spasseogfac
Scheme to Provide Financial Assistance for the Production and Publication of Excellent Original Children's Literature,https://www.myscheme.gov.in/schemes/stpfapcl
Scheme to Provide Financial Assistance for Translation of Scholarly Works,https://www.myscheme.gov.in/schemes/sfatsw
Scheme to Provide Financial Assistance in the Form of Grant-In-Aid to Bhajani/ Choir/ Cultural Group/ Institutions for Purchase of Musical Instruments,https://www.myscheme.gov.in/schemes/spfafgiabccgipmi
Scheme to Provide Financial Assistance to the Publishers for Publishing Books of Goan Authors,https://www.myscheme.gov.in/schemes/spfappbga
Scheme to Provide Grant in Aid to Cultural Organization (Maintenance/ Regular Grants),https://www.myscheme.gov.in/schemes/spgiacomrg
Scheme to Provide Grant to the Institutions for Long Term Project in the Field of Art and Culture (Sarjansheel Goa),https://www.myscheme.gov.in/schemes/spiltpfacsg
Scheme to Provide Monthly Financial Assistance to Elderly and Eligible Writers,https://www.myscheme.gov.in/schemes/spmfaeew
Scheme to Provide Special Financial Assistance for Organizing Cultural Events,https://www.myscheme.gov.in/schemes/spsfaoce
Scholarship to Undergo Advanced Training in the Field of Art,https://www.myscheme.gov.in/schemes/suatfa
Scholarships and Stipends,https://www.myscheme.gov.in/schemes/sasgj
Seva Bhoj Yojna,https://www.myscheme.gov.in/schemes/sby
Shaktidoot Scheme,https://www.myscheme.gov.in/schemes/ssg
Sharodotsav Pandit Nandan Mehta: Plan for Conducting Classical Music Competition and Ceremony,https://www.myscheme.gov.in/schemes/spnmcmc
Shooting Permission Certificate,https://www.myscheme.gov.in/schemes/spc
Shreshtam Scheme For Ensuring Participation Of PwDs In Arts & Sports,https://www.myscheme.gov.in/schemes/sseppas
Silpi Pension Scheme - Assam,https://www.myscheme.gov.in/schemes/sps-assam
Sindhu Darshan Scheme,https://www.myscheme.gov.in/schemes/sdd
Solo Drama Competition,https://www.myscheme.gov.in/schemes/sdc
Sports Scholarship (UG) - Uttarakhand,https://www.myscheme.gov.in/schemes/khelchhatravritiuk
Sports Scholarship Jharkhand,https://www.myscheme.gov.in/schemes/ssj
State Art Exhibition Competition,https://www.myscheme.gov.in/schemes/saec
State Level Awards for Divyang Persons,https://www.myscheme.gov.in/schemes/slafpwd
State Level Sports Awards - Uttarakhand,https://www.myscheme.gov.in/schemes/slsauk
State Mountaineering Reward Scheme,https://www.myscheme.gov.in/schemes/smrsguj
State Reward to the Recipient of National Award,https://www.myscheme.gov.in/schemes/srrna
Supply of Sarees and Dhoties to Differently Abled Persons,https://www.myscheme.gov.in/schemes/ssddap-pudu
Tagore National Fellowship for Cultural Research,https://www.myscheme.gov.in/schemes/tnfcr
Tagore National Scholarship for Cultural Research,https://www.myscheme.gov.in/schemes/tnscr
Taluka Level Personality Development and Yogasan Training Camp for Scheduled Caste,https://www.myscheme.gov.in/schemes/tlpdytc
Tanariri Music Awards Festival and Awards (National Level),https://www.myscheme.gov.in/schemes/tmafa
Team Production Award,https://www.myscheme.gov.in/schemes/tpa
Tenzing Norgay National Adventure Award,https://www.myscheme.gov.in/schemes/tnnaa
The Artist Welfare Fund Of Assam,https://www.myscheme.gov.in/schemes/tawfa
The Goa State Photo Contest And Exhibition Scheme,https://www.myscheme.gov.in/schemes/tgspces
"The Tripura Tribal Folk Arts & Cultural (Financial Assistance) Rules, 2022",https://www.myscheme.gov.in/schemes/ttfacfar-2022
Theatre Workshop,https://www.myscheme.gov.in/schemes/tw
Tholkappiar Award,https://www.myscheme.gov.in/schemes/ta
Tiatr Competition for Educational Institutions at Higher Secondary/College/University Level,https://www.myscheme.gov.in/schemes/tceihscul
Tiatr Research Scholarship Program,https://www.myscheme.gov.in/schemes/trsp
Tiatr Script Writing Competition,https://www.myscheme.gov.in/schemes/tswc
Tiatr Script Writing Workshop,https://www.myscheme.gov.in/schemes/tsww
Training Classes In Veda/Devaram,https://www.myscheme.gov.in/schemes/tcvd
Travel Grants To Goan Authors,https://www.myscheme.gov.in/schemes/tgga
Trekking in Coastal Area for Scheduled Caste,https://www.myscheme.gov.in/schemes/tcasc
Trekking in Forest Area (Scheduled Castes),https://www.myscheme.gov.in/schemes/tifa
Trekking in Forest Area (Scheduled Tribes),https://www.myscheme.gov.in/schemes/tifast
Utility Based Handicrafts Award,https://www.myscheme.gov.in/schemes/ubha
Uttarakhand Rajya Shilp Ratna Puraskar,https://www.myscheme.gov.in/schemes/ukrsrp
Visit to Old/Sick Artistes,https://www.myscheme.gov.in/schemes/vosa
Young Achievers Awards,https://www.myscheme.gov.in/schemes/yaa
Youth Art Training Fellowship Scheme,https://www.myscheme.gov.in/schemes/yatfs
Youth Engagement through Empowered Youth Organisations (YESS),https://www.myscheme.gov.in/schemes/yeteyoyess
Yuva Srujan Puraskar (Navsarjan Chetana Puraskar),https://www.myscheme.gov.in/schemes/yspncp
