scheme_name,scheme_url
Kalpana Chawla Chatravriti Yojana,https://www.myscheme.gov.in/schemes/kccy
Kalyana Lakshmi Pathakam,https://www.myscheme.gov.in/schemes/klp
Kalyani Sahayata Yojana (Madhya Pradesh Labor Welfare Board),https://www.myscheme.gov.in/schemes/ksymplwb
Kanya Saksharta Protsahan Yojana,https://www.myscheme.gov.in/schemes/kspy
Kanya Saksharta Protsahan Yojana (For Scheduled Caste Girls),https://www.myscheme.gov.in/schemes/kspyscg
Kanya Sumangala Yojana,https://www.myscheme.gov.in/schemes/ksy
Kanyadaan Scheme (CBOCWWB),https://www.myscheme.gov.in/schemes/kscbocwwb
Kanyadaan Scheme (HBOCWWB),https://www.myscheme.gov.in/schemes/kshbocwwb
Kanyashree Prakalpa,https://www.myscheme.gov.in/schemes/wbkanyashree
Kasturba Gandhi Residential Girls’ Hostel,https://www.myscheme.gov.in/schemes/kgbvrghuk
Kasturba Gandhi Special Term Deposit Receipt Scheme,https://www.myscheme.gov.in/schemes/kgsfdrs
Kayaka Spoorthi Scheme Karnataka,https://www.myscheme.gov.in/schemes/kssk
KCR Nutrition Kit,https://www.myscheme.gov.in/schemes/kcr-nutrition-kit
Khushi Scheme,https://www.myscheme.gov.in/schemes/ks
Khushiyon Ki Sawari Sewa - Uttarakhand,https://www.myscheme.gov.in/schemes/kkssuk
Kishori Balika Yojana (Madhya Pradesh),https://www.myscheme.gov.in/schemes/sfagmp
Kishori Balika Yojana- Uttarakhand,https://www.myscheme.gov.in/schemes/kbyuk
KULAVILAKKU,https://www.myscheme.gov.in/schemes/k-pudu
Kunwar Bai Nu Mameru Yojana Gujarat,https://www.myscheme.gov.in/schemes/kbnmyg
Laadli Laxmi Scheme,https://www.myscheme.gov.in/schemes/lls-g
Laado Protsahan Yojana,https://www.myscheme.gov.in/schemes/lpy
Ladies Vocational Centres,https://www.myscheme.gov.in/schemes/lvc
Ladli Beti Scheme,https://www.myscheme.gov.in/schemes/lbs
Ladli Laxmi Yojana,https://www.myscheme.gov.in/schemes/lly
Lakhpati Didi Yojana - Uttarakhand,https://www.myscheme.gov.in/schemes/ldyuk
Lakshmi Bai Samajik Suraksha Pension Yojana,https://www.myscheme.gov.in/schemes/lbsspy
Lakshmir Bhandar Scheme,https://www.myscheme.gov.in/schemes/lbs-wb
Lalima Abhiyaan,https://www.myscheme.gov.in/schemes/la
Maa-Badi / Maa-Badi Day-Care Centre Scheme,https://www.myscheme.gov.in/schemes/mbmbdccs
Madhu Babu Pension Yojana,https://www.myscheme.gov.in/schemes/mbpy
Madhya Pradesh Janani Suraksha Yojana,https://www.myscheme.gov.in/schemes/mpjsy
Maharishi Balmiki Chatravriti Yojana,https://www.myscheme.gov.in/schemes/mbcy
Mahila Adhikarita Yojana under NSKFDC- Haryana,https://www.myscheme.gov.in/schemes/maynskfdc-h
Mahila Bakri Palan,https://www.myscheme.gov.in/schemes/mbp
Mahila Dairy Vikas Pariyojana - Uttarakhand,https://www.myscheme.gov.in/schemes/mddpu
Mahila Kisan Yojana (Maharashtra),https://www.myscheme.gov.in/schemes/mkym
Mahila Nirman Shramik Vivah Yojana,https://www.myscheme.gov.in/schemes/mnsvy
Mahila Nursery Yojana,https://www.myscheme.gov.in/schemes/mny
Mahila Samiriddhi Yojana for Backward Classes- Haryana,https://www.myscheme.gov.in/schemes/msybc
Mahila Samiriddhi Yojana for Minority Community,https://www.myscheme.gov.in/schemes/msymc
Mahila Samman Savings Certificate,https://www.myscheme.gov.in/schemes/mssc
Mahila Samriddhi Yojana,https://www.myscheme.gov.in/schemes/cbssc-msy
Mahila Samriddhi Yojana (for women only) GNTDNT,https://www.myscheme.gov.in/schemes/msygntdnt
Mahila Samriddhi Yojana (GTKVN),https://www.myscheme.gov.in/schemes/msygtkdc
Mahila Samridhi Yojana (Maharashtra),https://www.myscheme.gov.in/schemes/msym
Mahila Samridhi Yojana under NSKFDC- Haryana,https://www.myscheme.gov.in/schemes/msynskfdc-h
Mahila Samruddhi Yojana (DAADC),https://www.myscheme.gov.in/schemes/msydaadc
Mahila Samruddhi Yojana (GSKVN),https://www.myscheme.gov.in/schemes/msygskvn
Mahila Samrudhhi Yojana (Gujarat Gopalak Vikas Nigam),https://www.myscheme.gov.in/schemes/msyggvn
Mahila Swavlamban Scheme,https://www.myscheme.gov.in/schemes/mssg
Mahila Swayamsiddha Yojana Rajasthan,https://www.myscheme.gov.in/schemes/msyr
Mahtari Vandan Yojana,https://www.myscheme.gov.in/schemes/mvy
Mai Bhago Vidya Scheme,https://www.myscheme.gov.in/schemes/mbvs
Maintenance Grant for Children with Disabilities from Birth,https://www.myscheme.gov.in/schemes/vbpa
Mamata Scheme,https://www.myscheme.gov.in/schemes/mamata
Mamta Taruni Abhiyan,https://www.myscheme.gov.in/schemes/mta
Mangalya Scheme For Widow Remarriage,https://www.myscheme.gov.in/schemes/mswr
Marriage Assistance (K.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/makbocwwb
Marriage Assistance (O.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/maobocwwb
Marriage Assistance - Folk Artist,https://www.myscheme.gov.in/schemes/mafa
Marriage Assistance for the Construction Workers,https://www.myscheme.gov.in/schemes/maftcwsb
Marriage Assistance To Differently Abled Women (Parinayam-II),https://www.myscheme.gov.in/schemes/madawp-ii
Marriage Gift Scheme (APBOCWWB),https://www.myscheme.gov.in/schemes/mgsapbocwwb
Marriage Gift Scheme - Telangana,https://www.myscheme.gov.in/schemes/mgs-tbocwwb
Marriage Grant for the Marriage of the Daughter of War Disabled Ex-Servicemen above 50% Disability,https://www.myscheme.gov.in/schemes/mgmdwdesmd
"Marriage Grant of Rs.51,000/- to Daughter/Sister of Personnel Killed/ Disabled in War/ Action/Terrorist Attack/Naxalite Attack/IS Duty",https://www.myscheme.gov.in/schemes/mgdspkdwatana
Marriage Grant to Orphan Daughter of Ex-Servicemen,https://www.myscheme.gov.in/schemes/mgodesm
Marriage Grant to War Widows’ Daughters of Ex-Servicemen,https://www.myscheme.gov.in/schemes/mgwwdesm
Mata Shabri Mahila Sashktikaran Yojana,https://www.myscheme.gov.in/schemes/msmsy
Maternity Assistance for the Construction Worker,https://www.myscheme.gov.in/schemes/mafcws
Maternity Assistance for the Construction Workers,https://www.myscheme.gov.in/schemes/mafcw
Maternity Assistance Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/masgbocwwb
Maternity Assistance Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/mat-pbaocwwb
Maternity Assistance Scheme- Gujarat Labour Welfare Board,https://www.myscheme.gov.in/schemes/masglwb
Maternity Benefit,https://www.myscheme.gov.in/schemes/mbwb
Maternity Benefit (A.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/mbabocwwb
Maternity Benefit (ANBOCWWB),https://www.myscheme.gov.in/schemes/mbanbocwwb
